CGG_NM,STDG_NM,score
종로구,홍파동,0.003297814456126271
구로구,가리봉동,0.003206036819269554
서대문구,냉천동,0.0028079889079776093
용산구,도원동,0.0027244606513134565
서초구,신원동,0.0026883685188995084
구로구,온수동,0.00263268301445674
용산구,용문동,0.0025130626253786386
성동구,송정동,0.00245737712093587
강서구,화곡동,0.0023342618276373656
종로구,내자동,0.0023099139796363844
종로구,동숭동,0.002078922581672746
성북구,성북동,0.0020656400616687006
종로구,신영동,0.0020593292096439254
마포구,상수동,0.0020232370772299774
종로구,경운동,0.0020232370772299774
중구,순화동,0.0018479311837091075
중구,오장동,0.0016759488184013814
서초구,내곡동,0.0016470295142640414
강서구,과해동,0.001616939785745469
서대문구,천연동,0.001505568776859932
서대문구,현저동,0.0014777260246385474
동작구,노량진동,0.001446111681395395
종로구,필운동,0.0014220405201957787
종로구,적선동,0.0014210712561118844
종로구,안국동,0.0013859483877818306
중구,쌍림동,0.0013859483877818306
강남구,율현동,0.0013581056355604464
종로구,구기동,0.0013581056355604464
중구,묵정동,0.001330262883339062
성동구,홍익동,0.0011549569898181922
영등포구,영등포동4가,0.0011549569898181922
영등포구,영등포동7가,0.0011549569898181922
중구,을지로6가,0.0011549569898181922
서대문구,옥천동,0.0011549569898181922
강북구,우이동,0.0011065516014840929
종로구,통의동,0.0010992714853754236
서대문구,영천동,0.001085988965371378
종로구,부암동,0.0010714287331540394
종로구,창신동,0.0009809126450870363
종로구,계동,0.0009239655918545538
종로구,누하동,0.0008682800874117852
종로구,신교동,0.0008682800874117852
종로구,행촌동,0.0008682800874117852
마포구,현석동,0.0008125945829690165
용산구,동빙고동,0.0008125945829690165
종로구,가회동,0.0006929741938909153
종로구,창성동,0.0006929741938909153
종로구,체부동,0.0006929741938909153
종로구,통인동,0.0006372886894481468
서대문구,대신동,0.0006372886894481468
종로구,이화동,0.0006372886894481468
동작구,동작동,0.0006094459372267624
종로구,소격동,0.0004619827959272769
서초구,원지동,0.0004619827959272769
